survey_id,ticket_id,score,comment_theme,response_date
CSAT-00250,INC-10010,5,Clear communication,2026-03-12
CSAT-00251,INC-10011,5,Clear communication,2026-03-13
CSAT-00252,INC-10012,5,Needed follow-up,2026-03-14
CSAT-00253,INC-10013,5,Needed follow-up,2026-03-15
CSAT-00254,INC-10014,5,Easy process,2026-03-16
CSAT-00255,INC-10015,5,Needed follow-up,2026-03-17
CSAT-00256,INC-10016,5,Easy process,2026-03-18
CSAT-00257,INC-10017,3,Professional,2026-03-19
CSAT-00258,INC-10018,5,Fast resolution,2026-03-20
CSAT-00259,INC-10019,3,Fast resolution,2026-03-21
CSAT-00260,INC-10020,4,Fast resolution,2026-03-22
CSAT-00261,INC-10021,3,Fast resolution,2026-03-23
CSAT-00262,INC-10022,4,Professional,2026-03-24
CSAT-00263,INC-10023,4,Professional,2026-03-25
CSAT-00264,INC-10024,5,Needed follow-up,2026-03-26
CSAT-00265,INC-10025,3,Clear communication,2026-03-27
CSAT-00266,INC-10026,4,Fast resolution,2026-03-28
CSAT-00267,INC-10027,5,Clear communication,2026-03-29
CSAT-00268,INC-10028,5,Needed follow-up,2026-03-30
CSAT-00269,INC-10029,5,Fast resolution,2026-03-31
CSAT-00270,INC-10030,5,Needed follow-up,2026-04-01
CSAT-00271,INC-10031,4,Professional,2026-04-02
CSAT-00272,INC-10032,4,Fast resolution,2026-04-03
CSAT-00273,INC-10033,5,Clear communication,2026-04-04
CSAT-00274,INC-10034,5,Needed follow-up,2026-04-05
CSAT-00275,INC-10035,5,Fast resolution,2026-04-06
CSAT-00276,INC-10036,4,Needed follow-up,2026-04-07
CSAT-00277,INC-10037,5,Fast resolution,2026-04-08
CSAT-00278,INC-10038,4,Fast resolution,2026-04-09
CSAT-00279,INC-10039,5,Needed follow-up,2026-04-10
CSAT-00280,INC-10040,3,Easy process,2026-04-11
CSAT-00281,INC-10041,5,Professional,2026-04-12
CSAT-00282,INC-10042,4,Easy process,2026-04-13
CSAT-00283,INC-10043,5,Fast resolution,2026-04-14
CSAT-00284,INC-10044,5,Clear communication,2026-04-15
CSAT-00285,INC-10045,4,Needed follow-up,2026-04-16
CSAT-00286,INC-10046,5,Fast resolution,2026-04-17
CSAT-00287,INC-10047,4,Needed follow-up,2026-04-18
CSAT-00288,INC-10048,5,Needed follow-up,2026-04-19
CSAT-00289,INC-10049,5,Clear communication,2026-04-20
CSAT-00290,INC-10050,4,Easy process,2026-04-21
CSAT-00291,INC-10051,4,Fast resolution,2026-04-22
CSAT-00292,INC-10052,5,Professional,2026-04-23
CSAT-00293,INC-10053,5,Clear communication,2026-04-24
CSAT-00294,INC-10054,5,Fast resolution,2026-04-25
CSAT-00295,INC-10055,5,Clear communication,2026-04-26
CSAT-00296,INC-10056,5,Needed follow-up,2026-04-27
CSAT-00297,INC-10057,4,Fast resolution,2026-04-28
CSAT-00298,INC-10058,3,Needed follow-up,2026-04-29
CSAT-00299,INC-10059,3,Needed follow-up,2026-04-30
CSAT-00300,INC-10060,5,Fast resolution,2026-05-01
CSAT-00301,INC-10061,5,Professional,2026-05-02
CSAT-00302,INC-10062,4,Easy process,2026-05-03
CSAT-00303,INC-10063,5,Needed follow-up,2026-05-04
CSAT-00304,INC-10064,5,Easy process,2026-05-05
CSAT-00305,INC-10065,5,Professional,2026-05-06
CSAT-00306,INC-10066,5,Easy process,2026-05-07
CSAT-00307,INC-10067,3,Clear communication,2026-05-08
CSAT-00308,INC-10068,5,Professional,2026-05-09
CSAT-00309,INC-10069,5,Clear communication,2026-05-10
CSAT-00310,INC-10070,3,Needed follow-up,2026-05-11
CSAT-00311,INC-10071,5,Needed follow-up,2026-05-12
CSAT-00312,INC-10072,5,Professional,2026-05-13
CSAT-00313,INC-10073,5,Needed follow-up,2026-05-14
CSAT-00314,INC-10074,3,Needed follow-up,2026-05-15
CSAT-00315,INC-10075,5,Needed follow-up,2026-05-16
CSAT-00316,INC-10076,4,Easy process,2026-05-17
CSAT-00317,INC-10077,5,Clear communication,2026-05-18
CSAT-00318,INC-10078,5,Professional,2026-05-19
CSAT-00319,INC-10079,5,Needed follow-up,2026-05-20
CSAT-00320,INC-10080,3,Clear communication,2026-05-21
CSAT-00321,INC-10081,4,Professional,2026-05-22
CSAT-00322,INC-10082,3,Clear communication,2026-05-23
CSAT-00323,INC-10083,3,Professional,2026-05-24
CSAT-00324,INC-10084,3,Clear communication,2026-05-25
CSAT-00325,INC-10085,3,Clear communication,2026-05-26
CSAT-00326,INC-10086,5,Needed follow-up,2026-05-27
CSAT-00327,INC-10087,4,Needed follow-up,2026-05-28
CSAT-00328,INC-10088,4,Easy process,2026-05-29
CSAT-00329,INC-10089,3,Fast resolution,2026-05-30
CSAT-00330,INC-10090,3,Fast resolution,2026-05-31
CSAT-00331,INC-10091,3,Fast resolution,2026-06-01
CSAT-00332,INC-10092,5,Easy process,2026-06-02
CSAT-00333,INC-10093,5,Clear communication,2026-06-03
CSAT-00334,INC-10094,5,Needed follow-up,2026-06-04
CSAT-00335,INC-10095,4,Professional,2026-06-05
CSAT-00336,INC-10096,5,Easy process,2026-06-06
CSAT-00337,INC-10097,5,Easy process,2026-06-07
CSAT-00338,INC-10098,5,Clear communication,2026-06-08
CSAT-00339,INC-10099,3,Professional,2026-06-09
CSAT-00340,INC-10100,5,Fast resolution,2026-06-10
CSAT-00341,INC-10101,5,Needed follow-up,2026-06-11
CSAT-00342,INC-10102,5,Clear communication,2026-06-12
CSAT-00343,INC-10103,4,Easy process,2026-06-13
CSAT-00344,INC-10104,4,Needed follow-up,2026-06-14
CSAT-00345,INC-10105,5,Fast resolution,2026-06-15
CSAT-00346,INC-10106,5,Clear communication,2026-06-16
CSAT-00347,INC-10107,5,Professional,2026-06-17
CSAT-00348,INC-10108,5,Easy process,2026-06-18
CSAT-00349,INC-10109,4,Clear communication,2026-06-19
CSAT-00350,INC-10110,4,Fast resolution,2026-06-20
CSAT-00351,INC-10111,4,Professional,2026-06-21
CSAT-00352,INC-10112,4,Clear communication,2026-06-22
CSAT-00353,INC-10113,5,Fast resolution,2026-06-23
CSAT-00354,INC-10114,4,Professional,2026-06-24
CSAT-00355,INC-10115,5,Fast resolution,2026-06-25
CSAT-00356,INC-10116,5,Professional,2026-06-26
CSAT-00357,INC-10117,5,Fast resolution,2026-06-27
CSAT-00358,INC-10118,3,Professional,2026-06-28
CSAT-00359,INC-10119,5,Needed follow-up,2026-06-29
CSAT-00360,INC-10120,5,Clear communication,2026-01-01
CSAT-00361,INC-10001,5,Needed follow-up,2026-01-02
CSAT-00362,INC-10002,3,Easy process,2026-01-03
CSAT-00363,INC-10003,5,Easy process,2026-01-04
CSAT-00364,INC-10004,3,Fast resolution,2026-01-05
CSAT-00365,INC-10005,5,Fast resolution,2026-01-06
CSAT-00366,INC-10006,5,Professional,2026-01-07
CSAT-00367,INC-10007,5,Fast resolution,2026-01-08
CSAT-00368,INC-10008,5,Needed follow-up,2026-01-09
CSAT-00369,INC-10009,5,Easy process,2026-01-10
CSAT-00370,INC-10010,4,Needed follow-up,2026-01-11
CSAT-00371,INC-10011,3,Easy process,2026-01-12
CSAT-00372,INC-10012,5,Needed follow-up,2026-01-13
CSAT-00373,INC-10013,4,Needed follow-up,2026-01-14
CSAT-00374,INC-10014,4,Needed follow-up,2026-01-15
CSAT-00375,INC-10015,4,Needed follow-up,2026-01-16
CSAT-00376,INC-10016,5,Easy process,2026-01-17
CSAT-00377,INC-10017,4,Fast resolution,2026-01-18
CSAT-00378,INC-10018,5,Fast resolution,2026-01-19
CSAT-00379,INC-10019,5,Needed follow-up,2026-01-20
CSAT-00380,INC-10020,5,Clear communication,2026-01-21
CSAT-00381,INC-10021,3,Needed follow-up,2026-01-22
CSAT-00382,INC-10022,4,Professional,2026-01-23
CSAT-00383,INC-10023,5,Easy process,2026-01-24
CSAT-00384,INC-10024,5,Clear communication,2026-01-25
CSAT-00385,INC-10025,3,Needed follow-up,2026-01-26
CSAT-00386,INC-10026,4,Fast resolution,2026-01-27
CSAT-00387,INC-10027,5,Easy process,2026-01-28
CSAT-00388,INC-10028,4,Easy process,2026-01-29
CSAT-00389,INC-10029,5,Fast resolution,2026-01-30
CSAT-00390,INC-10030,3,Clear communication,2026-01-31
CSAT-00391,INC-10031,5,Professional,2026-02-01
CSAT-00392,INC-10032,3,Needed follow-up,2026-02-02
CSAT-00393,INC-10033,3,Fast resolution,2026-02-03
CSAT-00394,INC-10034,5,Easy process,2026-02-04
CSAT-00395,INC-10035,4,Easy process,2026-02-05
CSAT-00396,INC-10036,5,Clear communication,2026-02-06
CSAT-00397,INC-10037,5,Professional,2026-02-07
CSAT-00398,INC-10038,5,Fast resolution,2026-02-08
CSAT-00399,INC-10039,5,Easy process,2026-02-09
CSAT-00400,INC-10040,5,Needed follow-up,2026-02-10
CSAT-00401,INC-10041,4,Clear communication,2026-02-11
CSAT-00402,INC-10042,4,Clear communication,2026-02-12
CSAT-00403,INC-10043,5,Needed follow-up,2026-02-13
CSAT-00404,INC-10044,5,Fast resolution,2026-02-14
CSAT-00405,INC-10045,5,Clear communication,2026-02-15
CSAT-00406,INC-10046,5,Fast resolution,2026-02-16
CSAT-00407,INC-10047,5,Clear communication,2026-02-17
CSAT-00408,INC-10048,5,Professional,2026-02-18
CSAT-00409,INC-10049,3,Needed follow-up,2026-02-19
CSAT-00410,INC-10050,5,Needed follow-up,2026-02-20
CSAT-00411,INC-10051,4,Fast resolution,2026-02-21
CSAT-00412,INC-10052,5,Clear communication,2026-02-22
CSAT-00413,INC-10053,5,Easy process,2026-02-23
CSAT-00414,INC-10054,3,Fast resolution,2026-02-24
CSAT-00415,INC-10055,5,Needed follow-up,2026-02-25
CSAT-00416,INC-10056,5,Needed follow-up,2026-02-26
CSAT-00417,INC-10057,4,Easy process,2026-02-27
CSAT-00418,INC-10058,5,Easy process,2026-02-28
CSAT-00419,INC-10059,4,Needed follow-up,2026-03-01
CSAT-00420,INC-10060,5,Fast resolution,2026-03-02
CSAT-00421,INC-10061,5,Needed follow-up,2026-03-03
CSAT-00422,INC-10062,3,Needed follow-up,2026-03-04
CSAT-00423,INC-10063,4,Fast resolution,2026-03-05
CSAT-00424,INC-10064,4,Professional,2026-03-06
CSAT-00425,INC-10065,5,Needed follow-up,2026-03-07
CSAT-00426,INC-10066,5,Easy process,2026-03-08
CSAT-00427,INC-10067,5,Clear communication,2026-03-09
CSAT-00428,INC-10068,4,Fast resolution,2026-03-10
CSAT-00429,INC-10069,5,Fast resolution,2026-03-11
CSAT-00430,INC-10070,3,Clear communication,2026-03-12
CSAT-00431,INC-10071,5,Needed follow-up,2026-03-13
CSAT-00432,INC-10072,3,Professional,2026-03-14
CSAT-00433,INC-10073,3,Professional,2026-03-15
CSAT-00434,INC-10074,5,Fast resolution,2026-03-16
CSAT-00435,INC-10075,5,Easy process,2026-03-17
CSAT-00436,INC-10076,5,Fast resolution,2026-03-18
CSAT-00437,INC-10077,3,Fast resolution,2026-03-19
CSAT-00438,INC-10078,5,Clear communication,2026-03-20
CSAT-00439,INC-10079,5,Professional,2026-03-21
CSAT-00440,INC-10080,5,Needed follow-up,2026-03-22
CSAT-00441,INC-10081,4,Professional,2026-03-23
CSAT-00442,INC-10082,4,Easy process,2026-03-24
CSAT-00443,INC-10083,4,Fast resolution,2026-03-25
CSAT-00444,INC-10084,3,Professional,2026-03-26
CSAT-00445,INC-10085,3,Easy process,2026-03-27
CSAT-00446,INC-10086,4,Professional,2026-03-28
CSAT-00447,INC-10087,5,Professional,2026-03-29
CSAT-00448,INC-10088,5,Needed follow-up,2026-03-30
CSAT-00449,INC-10089,5,Clear communication,2026-03-31
CSAT-00450,INC-10090,5,Needed follow-up,2026-04-01
CSAT-00451,INC-10091,5,Clear communication,2026-04-02
CSAT-00452,INC-10092,4,Clear communication,2026-04-03
CSAT-00453,INC-10093,5,Easy process,2026-04-04
CSAT-00454,INC-10094,3,Fast resolution,2026-04-05
CSAT-00455,INC-10095,5,Clear communication,2026-04-06
CSAT-00456,INC-10096,3,Clear communication,2026-04-07
CSAT-00457,INC-10097,4,Needed follow-up,2026-04-08
CSAT-00458,INC-10098,3,Fast resolution,2026-04-09
CSAT-00459,INC-10099,3,Clear communication,2026-04-10
CSAT-00460,INC-10100,5,Needed follow-up,2026-04-11
CSAT-00461,INC-10101,5,Clear communication,2026-04-12
CSAT-00462,INC-10102,5,Needed follow-up,2026-04-13
CSAT-00463,INC-10103,4,Needed follow-up,2026-04-14
CSAT-00464,INC-10104,4,Professional,2026-04-15
CSAT-00465,INC-10105,5,Fast resolution,2026-04-16
CSAT-00466,INC-10106,5,Professional,2026-04-17
CSAT-00467,INC-10107,5,Needed follow-up,2026-04-18
CSAT-00468,INC-10108,3,Clear communication,2026-04-19
CSAT-00469,INC-10109,5,Needed follow-up,2026-04-20
CSAT-00470,INC-10110,3,Easy process,2026-04-21
CSAT-00471,INC-10111,5,Clear communication,2026-04-22
CSAT-00472,INC-10112,5,Easy process,2026-04-23
CSAT-00473,INC-10113,3,Professional,2026-04-24
CSAT-00474,INC-10114,5,Fast resolution,2026-04-25
CSAT-00475,INC-10115,5,Easy process,2026-04-26
CSAT-00476,INC-10116,4,Needed follow-up,2026-04-27
CSAT-00477,INC-10117,4,Easy process,2026-04-28
CSAT-00478,INC-10118,4,Clear communication,2026-04-29
CSAT-00479,INC-10119,4,Professional,2026-04-30
CSAT-00480,INC-10120,5,Needed follow-up,2026-05-01
CSAT-00481,INC-10001,5,Needed follow-up,2026-05-02
CSAT-00482,INC-10002,5,Professional,2026-05-03
CSAT-00483,INC-10003,3,Easy process,2026-05-04
CSAT-00484,INC-10004,5,Professional,2026-05-05
CSAT-00485,INC-10005,5,Easy process,2026-05-06
CSAT-00486,INC-10006,5,Needed follow-up,2026-05-07
CSAT-00487,INC-10007,3,Easy process,2026-05-08
CSAT-00488,INC-10008,3,Easy process,2026-05-09
CSAT-00489,INC-10009,3,Clear communication,2026-05-10
CSAT-00490,INC-10010,5,Professional,2026-05-11
CSAT-00491,INC-10011,4,Needed follow-up,2026-05-12
CSAT-00492,INC-10012,5,Easy process,2026-05-13
CSAT-00493,INC-10013,3,Easy process,2026-05-14
CSAT-00494,INC-10014,4,Professional,2026-05-15
CSAT-00495,INC-10015,5,Professional,2026-05-16
CSAT-00496,INC-10016,5,Easy process,2026-05-17
CSAT-00497,INC-10017,3,Clear communication,2026-05-18
CSAT-00498,INC-10018,5,Professional,2026-05-19
CSAT-00499,INC-10019,5,Easy process,2026-05-20
CSAT-00500,INC-10020,5,Professional,2026-05-21
