ticket_id,category,priority,status,opened_at,resolved_at,resolution_minutes,summary,resolution,validation
SYS-0001,Active Directory,P4,Resolved,2026-01-02T21:00:00,2026-01-03T05:59:00,539.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0002,Windows Server,P3,Resolved,2026-01-03T10:00:00,2026-01-03T14:08:00,248.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0003,Linux,P2,Resolved,2026-01-03T23:00:00,2026-01-04T01:10:00,130.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0004,Microsoft 365,P1,Resolved,2026-01-04T12:00:00,2026-01-04T13:01:00,61.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0005,Virtualization,P4,Resolved,2026-01-05T01:00:00,2026-01-05T10:13:00,553.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0006,Networking,P3,Resolved,2026-01-05T14:00:00,2026-01-05T18:22:00,262.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0007,Backup,P2,Resolved,2026-01-06T03:00:00,2026-01-06T04:48:00,108.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0008,Patching,P1,Resolved,2026-01-06T16:00:00,2026-01-06T17:39:00,99.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0009,Security,P4,Resolved,2026-01-07T05:00:00,2026-01-07T13:56:00,536.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0010,Storage,P3,Resolved,2026-01-07T18:00:00,2026-01-07T23:20:00,320.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0011,Printing,P2,Resolved,2026-01-08T07:00:00,2026-01-08T09:29:00,149.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0012,Monitoring,P1,Resolved,2026-01-08T20:00:00,2026-01-08T20:34:00,34.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0013,Active Directory,P4,Resolved,2026-01-09T09:00:00,2026-01-09T17:48:00,528.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0014,Windows Server,P3,Resolved,2026-01-09T22:00:00,2026-01-10T02:16:00,256.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0015,Linux,P2,Resolved,2026-01-10T11:00:00,2026-01-10T13:02:00,122.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0016,Microsoft 365,P1,Resolved,2026-01-11T00:00:00,2026-01-11T00:59:00,59.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0017,Virtualization,P4,Resolved,2026-01-11T13:00:00,2026-01-11T22:49:00,589.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0018,Networking,P3,Resolved,2026-01-12T02:00:00,2026-01-12T06:08:00,248.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0019,Backup,P2,Resolved,2026-01-12T15:00:00,2026-01-12T17:46:00,166.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0020,Patching,P1,Resolved,2026-01-13T04:00:00,2026-01-13T04:55:00,55.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0021,Security,P4,Resolved,2026-01-13T17:00:00,2026-01-14T02:54:00,594.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0022,Storage,P3,Resolved,2026-01-14T06:00:00,2026-01-14T10:58:00,298.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0023,Printing,P2,Resolved,2026-01-14T19:00:00,2026-01-14T21:03:00,123.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0024,Monitoring,P1,Resolved,2026-01-15T08:00:00,2026-01-15T09:27:00,87.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0025,Active Directory,P4,Resolved,2026-01-15T21:00:00,2026-01-16T07:00:00,600.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0026,Windows Server,P3,Resolved,2026-01-16T10:00:00,2026-01-16T14:40:00,280.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0027,Linux,P2,Resolved,2026-01-16T23:00:00,2026-01-17T00:35:00,95.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0028,Microsoft 365,P1,Resolved,2026-01-17T12:00:00,2026-01-17T12:50:00,50.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0029,Virtualization,P4,Resolved,2026-01-18T01:00:00,2026-01-18T10:39:00,579.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0030,Networking,P3,Resolved,2026-01-18T14:00:00,2026-01-18T18:48:00,288.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0031,Backup,P2,Resolved,2026-01-19T03:00:00,2026-01-19T05:10:00,130.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0032,Patching,P1,Resolved,2026-01-19T16:00:00,2026-01-19T16:49:00,49.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0033,Security,P4,Resolved,2026-01-20T05:00:00,2026-01-20T14:12:00,552.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0034,Storage,P3,Resolved,2026-01-20T18:00:00,2026-01-20T22:48:00,288.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0035,Printing,P2,Resolved,2026-01-21T07:00:00,2026-01-21T08:48:00,108.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0036,Monitoring,P1,Resolved,2026-01-21T20:00:00,2026-01-21T20:41:00,41.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0037,Active Directory,P4,Resolved,2026-01-22T09:00:00,2026-01-22T18:33:00,573.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0038,Windows Server,P3,Resolved,2026-01-22T22:00:00,2026-01-23T02:17:00,257.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0039,Linux,P2,Resolved,2026-01-23T11:00:00,2026-01-23T13:20:00,140.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0040,Microsoft 365,P1,Resolved,2026-01-24T00:00:00,2026-01-24T01:14:00,74.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0041,Virtualization,P4,Resolved,2026-01-24T13:00:00,2026-01-24T22:18:00,558.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0042,Networking,P3,Resolved,2026-01-25T02:00:00,2026-01-25T06:10:00,250.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0043,Backup,P2,Resolved,2026-01-25T15:00:00,2026-01-25T17:33:00,153.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0044,Patching,P1,Resolved,2026-01-26T04:00:00,2026-01-26T05:38:00,98.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0045,Security,P4,Resolved,2026-01-26T17:00:00,2026-01-27T02:00:00,540.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0046,Storage,P3,Resolved,2026-01-27T06:00:00,2026-01-27T10:53:00,293.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0047,Printing,P2,Resolved,2026-01-27T19:00:00,2026-01-27T20:45:00,105.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0048,Monitoring,P1,Resolved,2026-01-28T08:00:00,2026-01-28T09:40:00,100.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0049,Active Directory,P4,Resolved,2026-01-28T21:00:00,2026-01-29T06:22:00,562.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0050,Windows Server,P3,Resolved,2026-01-29T10:00:00,2026-01-29T14:51:00,291.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0051,Linux,P2,Resolved,2026-01-29T23:00:00,2026-01-30T01:48:00,168.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0052,Microsoft 365,P1,Resolved,2026-01-30T12:00:00,2026-01-30T12:54:00,54.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0053,Virtualization,P4,Resolved,2026-01-31T01:00:00,2026-01-31T09:53:00,533.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0054,Networking,P3,Resolved,2026-01-31T14:00:00,2026-01-31T18:10:00,250.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0055,Backup,P2,Resolved,2026-02-01T03:00:00,2026-02-01T05:04:00,124.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0056,Patching,P1,Resolved,2026-02-01T16:00:00,2026-02-01T17:07:00,67.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0057,Security,P4,Resolved,2026-02-02T05:00:00,2026-02-02T13:55:00,535.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0058,Storage,P3,Resolved,2026-02-02T18:00:00,2026-02-02T22:34:00,274.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0059,Printing,P2,Resolved,2026-02-03T07:00:00,2026-02-03T08:47:00,107.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0060,Monitoring,P1,Resolved,2026-02-03T20:00:00,2026-02-03T21:18:00,78.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0061,Active Directory,P4,Resolved,2026-02-04T09:00:00,2026-02-04T18:20:00,560.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0062,Windows Server,P3,Resolved,2026-02-04T22:00:00,2026-02-05T03:03:00,303.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0063,Linux,P2,Resolved,2026-02-05T11:00:00,2026-02-05T13:21:00,141.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0064,Microsoft 365,P1,Resolved,2026-02-06T00:00:00,2026-02-06T00:50:00,50.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0065,Virtualization,P4,Resolved,2026-02-06T13:00:00,2026-02-06T22:32:00,572.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0066,Networking,P3,Resolved,2026-02-07T02:00:00,2026-02-07T06:50:00,290.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0067,Backup,P2,Resolved,2026-02-07T15:00:00,2026-02-07T17:01:00,121.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0068,Patching,P1,Resolved,2026-02-08T04:00:00,2026-02-08T05:04:00,64.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0069,Security,P4,Resolved,2026-02-08T17:00:00,2026-02-09T01:54:00,534.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0070,Storage,P3,Resolved,2026-02-09T06:00:00,2026-02-09T10:26:00,266.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0071,Printing,P2,Resolved,2026-02-09T19:00:00,2026-02-09T21:43:00,163.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0072,Monitoring,P1,Resolved,2026-02-10T08:00:00,2026-02-10T09:01:00,61.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0073,Active Directory,P4,Resolved,2026-02-10T21:00:00,2026-02-11T06:05:00,545.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0074,Windows Server,P3,Resolved,2026-02-11T10:00:00,2026-02-11T15:04:00,304.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0075,Linux,P2,Resolved,2026-02-11T23:00:00,2026-02-12T01:23:00,143.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0076,Microsoft 365,P1,Resolved,2026-02-12T12:00:00,2026-02-12T13:04:00,64.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0077,Virtualization,P4,Resolved,2026-02-13T01:00:00,2026-02-13T10:56:00,596.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0078,Networking,P3,Resolved,2026-02-13T14:00:00,2026-02-13T18:33:00,273.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0079,Backup,P2,Resolved,2026-02-14T03:00:00,2026-02-14T05:16:00,136.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0080,Patching,P1,Resolved,2026-02-14T16:00:00,2026-02-14T16:37:00,37.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0081,Security,P4,Resolved,2026-02-15T05:00:00,2026-02-15T14:14:00,554.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0082,Storage,P3,Resolved,2026-02-15T18:00:00,2026-02-15T22:09:00,249.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0083,Printing,P2,Resolved,2026-02-16T07:00:00,2026-02-16T09:15:00,135.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0084,Monitoring,P1,Resolved,2026-02-16T20:00:00,2026-02-16T21:21:00,81.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0085,Active Directory,P4,Resolved,2026-02-17T09:00:00,2026-02-17T18:19:00,559.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0086,Windows Server,P3,Resolved,2026-02-17T22:00:00,2026-02-18T02:13:00,253.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0087,Linux,P2,Resolved,2026-02-18T11:00:00,2026-02-18T13:02:00,122.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0088,Microsoft 365,P1,Resolved,2026-02-19T00:00:00,2026-02-19T01:42:00,102.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0089,Virtualization,P4,Resolved,2026-02-19T13:00:00,2026-02-19T22:25:00,565.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0090,Networking,P3,Resolved,2026-02-20T02:00:00,2026-02-20T06:32:00,272.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0091,Backup,P2,Resolved,2026-02-20T15:00:00,2026-02-20T17:38:00,158.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0092,Patching,P1,Resolved,2026-02-21T04:00:00,2026-02-21T05:20:00,80.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0093,Security,P4,Resolved,2026-02-21T17:00:00,2026-02-22T02:43:00,583.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0094,Storage,P3,Resolved,2026-02-22T06:00:00,2026-02-22T10:23:00,263.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0095,Printing,P2,Resolved,2026-02-22T19:00:00,2026-02-22T21:08:00,128.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0096,Monitoring,P1,Resolved,2026-02-23T08:00:00,2026-02-23T08:47:00,47.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0097,Active Directory,P4,Resolved,2026-02-23T21:00:00,2026-02-24T06:16:00,556.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0098,Windows Server,P3,Resolved,2026-02-24T10:00:00,2026-02-24T15:16:00,316.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0099,Linux,P2,Resolved,2026-02-24T23:00:00,2026-02-25T01:43:00,163.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0100,Microsoft 365,P1,Resolved,2026-02-25T12:00:00,2026-02-25T13:03:00,63.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0101,Virtualization,P4,Resolved,2026-02-26T01:00:00,2026-02-26T10:59:00,599.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0102,Networking,P3,Resolved,2026-02-26T14:00:00,2026-02-26T18:59:00,299.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0103,Backup,P2,Resolved,2026-02-27T03:00:00,2026-02-27T05:49:00,169.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0104,Patching,P1,Resolved,2026-02-27T16:00:00,2026-02-27T17:21:00,81.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0105,Security,P4,Resolved,2026-02-28T05:00:00,2026-02-28T14:31:00,571.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0106,Storage,P3,Resolved,2026-02-28T18:00:00,2026-02-28T22:33:00,273.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0107,Printing,P2,Resolved,2026-03-01T07:00:00,2026-03-01T08:52:00,112.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0108,Monitoring,P1,Resolved,2026-03-01T20:00:00,2026-03-01T21:35:00,95.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0109,Active Directory,P4,Resolved,2026-03-02T09:00:00,2026-03-02T18:48:00,588.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0110,Windows Server,P3,Resolved,2026-03-02T22:00:00,2026-03-03T02:16:00,256.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0111,Linux,P2,Resolved,2026-03-03T11:00:00,2026-03-03T12:41:00,101.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0112,Microsoft 365,P1,Resolved,2026-03-04T00:00:00,2026-03-04T00:44:00,44.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0113,Virtualization,P4,Resolved,2026-03-04T13:00:00,2026-03-04T22:04:00,544.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0114,Networking,P3,Resolved,2026-03-05T02:00:00,2026-03-05T06:25:00,265.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0115,Backup,P2,Resolved,2026-03-05T15:00:00,2026-03-05T17:29:00,149.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0116,Patching,P1,Resolved,2026-03-06T04:00:00,2026-03-06T04:38:00,38.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0117,Security,P4,Resolved,2026-03-06T17:00:00,2026-03-07T02:34:00,574.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0118,Storage,P3,Resolved,2026-03-07T06:00:00,2026-03-07T10:53:00,293.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0119,Printing,P2,Resolved,2026-03-07T19:00:00,2026-03-07T21:34:00,154.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0120,Monitoring,P1,Resolved,2026-03-08T08:00:00,2026-03-08T09:37:00,97.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
